word,ig_score
pd,0.6083051667083055
depressed,0.51866431782643
stressed,0.44281970833738643
unstable,0.41005241498351097
poll,0.3810223589340846
anxious,0.340049502572843
stress,0.34000953291025426
medication,0.3059803644816081
general,0.25730001864333946
ress,0.2544490359723568
stressful,0.2485627280548215
fucking,0.2479068860411644
avoid,0.2464221070210139
health,0.24524590528259674
didnt,0.24108050444296428
anxiety,0.22043269191469464
didn,0.21082221468289694
cant,0.18064797967672347
thoughts,0.17689297022297978
view,0.1753797729810079
money,0.17118732152240618
incredibly,0.17102544382214546
shit,0.167390376329422
phone,0.16667313252886137
barely,0.16626567393541336
nervous,0.16566929500550032
management,0.16234104707837105
sit,0.1541099064052105
horrible,0.15342237800359726
nause,0.1495348885655403
therapist,0.14693270465359093
traumatic,0.14662506400297085
school,0.1386050374712795
abusive,0.13823194553454718
hi,0.13733219662681223
different,0.1365571115165949
sex,0.1342393308877945
failed,0.1335346760849158
28,0.12811575829982758
constantly,0.12445202935487032
izing,0.12399782178302605
sexual,0.12242270136872928
boyfriend,0.12146474421024323
res,0.12035624842558588
decisions,0.11957132257521152
](,0.11756766587495804
leave,0.11541226532842432
therapy,0.11537720588967204
dont,0.11427841236193975
family,0.11362125581273666
fight,0.11195208225399256
jobs,0.1113931064804395
fucked,0.11080878973007202
chronic,0.1075159702450037
hide,0.10660729184746742
"),",0.10583636444061995
anymore,0.10558670883377393
trigger,0.10488174607356389
enjoy,0.1032207328826189
mind,0.10230809729546309
easy,0.09972166394193967
..,0.09905784390866756
autism,0.09773231546084087
online,0.09678132683038712
ational,0.09564947336912155
talking,0.09491061186417937
live,0.09391678478568792
physics,0.09285264958937962
st,0.09205593996577793
couldn,0.0917698796838522
stuff,0.09072400331497192
social,0.0904177874326706
none,0.08845897438004613
't,0.08815620559524151
help,0.08788301162421704
eat,0.08724002121016383
triggered,0.08687515805164973
panic,0.08683409634977579
etc,0.08607882740242141
completely,0.08571317822982867
enough,0.08532703774315971
drive,0.08472835396726926
post,0.08464079210534692
hear,0.08439161007603009
cr,0.08439111678550641
'm,0.08384981729384315
amp,0.08353573605418205
thank,0.08337342739105225
man,0.08316705981269479
angry,0.08265820766488712
av,0.082345433649607
imp,0.0815327832242474
breath,0.08144397661089897
end,0.0814131700899452
heart,0.08086409885436296
crying,0.08004279931386311
guy,0.07984504103660583
isn,0.07983096564809482
im,0.07888241979952265
situation,0.078331822263343
longer,0.07808676455169916
extremely,0.07762732176342979
healthy,0.07696513133123517
talk,0.07669104652648623
music,0.07644145403589521
worse,0.07482878351584077
afraid,0.07481179386377335
eventually,0.07467348749438922
mom,0.07439337595133111
usually,0.0741700433815519
everything,0.07409313998439095
focus,0.07399035710841417
remember,0.07370942023893197
trouble,0.07367271309097607
food,0.0735116396099329
first,0.07331445609452203
example,0.07300054654479027
thinking,0.07265851900658825
inside,0.0725884698331356
friends,0.07253058686513793
job,0.07169019529486403
sleep,0.07166202149043481
whatever,0.07136742770671844
ive,0.0712410459915797
his,0.07084286550525576
anyone,0.07081830328451874
someone,0.07077310302605232
losing,0.06994581106118858
stop,0.06976138520985842
mentally,0.06927118003368378
recently,0.0690003506923941
friend,0.06896253465674818
tired,0.06829240452498198
parents,0.06818407364189624
difficult,0.06753712333738804
throw,0.06714155524969101
ready,0.06711074461539586
classes,0.06700496678240597
feeling,0.0670011733762092
childhood,0.06687212362885475
moment,0.06639645285904408
living,0.066306097432971
ous,0.06613915264606476
fix,0.06579557340592146
hate,0.06579318986489223
says,0.06571456301026046
break,0.06552764152487119
she,0.06530810864642263
called,0.06439363056172927
saw,0.06430714130401612
university,0.06420778208929631
ago,0.06410443893400952
fear,0.06390310268034227
normal,0.0637976120536526
sick,0.06375740521720477
present,0.06358348205685616
students,0.0634817633156975
care,0.0633037337101996
him,0.06322538387030363
breaks,0.06320140634973843
almost,0.06312854122370481
hospital,0.0631062367465347
conversation,0.06309588626027107
type,0.06263495919605096
struggle,0.06259671412408352
can,0.062428312856664364
gotten,0.06225465113917986
names,0.06211189180612564
asking,0.06189839094877243
mess,0.061089388094842434
pretty,0.06107435151934624
're,0.060748825594782827
am,0.06048317375939851
sometimes,0.05999278995607581
deeply,0.059946066389481224
next,0.059917674865573645
sort,0.05987087513009707
relationship,0.05975116090849042
early,0.059704167768359184
wake,0.05962531492114067
ended,0.05905887857079506
decision,0.05903691922624906
literally,0.058876075549051166
abuse,0.05865934065410069
close,0.058471216820180416
feelings,0.058415448665618895
worry,0.058347506603846945
great,0.058266144478693604
task,0.058195605563620724
scared,0.05810881033539772
others,0.0578668142358462
