word,ig_score
medication,0.9244995911916097
autism,0.7752213024844726
pd,0.6308674275875091
anxious,0.5532395818403789
stress,0.5378584901040251
general,0.5350598692893982
view,0.5301193793614706
failed,0.5275452733039856
stressed,0.5001310972640147
avoid,0.45713449517885846
mentally,0.4356247317045927
depressed,0.42350438485542935
av,0.4124438693126043
poll,0.38217853009700775
nervous,0.37789879366755486
therapist,0.34997057997518116
therapy,0.34307759534567595
boyfriend,0.32752717410524684
amp,0.32480171918869016
chronic,0.3203243166208267
normal,0.3134960358341535
cheap,0.31050269802411395
hospital,0.3033153312280774
anxiety,0.2981453682569897
jobs,0.293494313955307
math,0.2803060933947563
blood,0.27260065575440723
un,0.26610929425805807
al,0.258705823123455
guy,0.2538802220175664
traumatic,0.2531006981929143
pay,0.2502119801938534
freak,0.24225052073597908
childhood,0.24217255553230643
talked,0.2408037098745505
social,0.24015569793326513
rep,0.23636297633250555
panic,0.2176880482584238
depression,0.2144424721598625
telling,0.21023254794999957
decisions,0.20918218791484833
problems,0.20407878179103137
learned,0.20170646533370018
healthy,0.20103716105222702
situation,0.1989407160065391
easy,0.19513996876776218
triggered,0.19366693745056787
drive,0.19313271343708038
weird,0.19267857571442923
high,0.1900564112833568
task,0.18978934610883394
addiction,0.18956787884235382
abuse,0.18902473244816065
diagnosed,0.18686304613947868
attacks,0.18623810913413763
fucking,0.181575708091259
personal,0.1773791193962097
health,0.1771200547615687
said,0.17633170913904905
too,0.1762794591486454
id,0.1761203571887953
money,0.17563909717968532
anymore,0.1744403839111328
conversation,0.1741214394569397
fine,0.17237577848136426
fear,0.17076091282069683
iv,0.16987568587064744
long,0.16948105146487555
des,0.1686406551549832
management,0.1683031190186739
due,0.16509093903005123
im,0.16470995186162846
example,0.1633771409591039
mom,0.16335119144059718
stuff,0.1629931055009365
physics,0.16289382552107176
sub,0.16131789647042752
taking,0.1604080322597708
sick,0.1594882266862052
phone,0.15805157274007797
stop,0.15687316562980413
done,0.15669129540522894
28,0.15651620800296465
crying,0.1548790130764246
thoughts,0.15414168925157615
let,0.15328889433294535
incredibly,0.14862626791000366
hi,0.14856238588690757
abusive,0.14674934248129526
friend,0.14671516045928001
cause,0.14558367058634758
ful,0.14543740823864937
food,0.14396343752741814
today,0.1438891589641571
post,0.1418752914501561
reading,0.1406098666290442
break,0.14018880824247995
parents,0.13842771369963885
which,0.1376976395646731
worst,0.1374101508408785
