word,ig_score
peaceful,0.7879192888736725
stress,0.7707399427890778
amused,0.3468833913405736
pleasant,0.3381427725156148
successful,0.2991679360469182
didnt,0.29697296977974474
pretty,0.2818421209231019
do,0.27597577700560744
pain,0.26031150110065937
anyone,0.2580362199805677
feelings,0.25326243681567057
sincere,0.24144269153475761
dont,0.2402946501970291
family,0.2343916818499565
wonderful,0.22742290049791336
thrilled,0.22482319176197052
shall,0.21462216724952063
upon,0.2129033220311006
happy,0.21259975507855416
room,0.2076208603878816
free,0.20564377990861735
ok,0.20563974728186926
mother,0.20467083031932512
myself,0.20341652176446384
tired,0.1975505712131659
friends,0.1858704909682274
content,0.18438251595944166
any,0.1691215604543686
right,0.16272455155849458
thats,0.16142970323562622
help,0.15993247414007783
woman,0.1598594697813193
push,0.15725656847159067
thankful,0.15479503571987152
brave,0.152941786373655
good,0.15099513437598944
acceptable,0.1504349559545517
still,0.14857786595821382
doing,0.1480316322296858
hell,0.14782213792204857
come,0.14747408280769983
truly,0.14641563718517622
am,0.14599396636088688
again,0.1433094184845686
stuff,0.1430710212637981
no,0.14226930433263382
something,0.1395129011167834
life,0.13839314573190428
longing,0.13769344364603361
he,0.13727862071245908
thoughts,0.13568876031786203
please,0.1348120147983233
close,0.13225428760051727
superior,0.13148584123700857
every,0.1313997358083725
loved,0.12896360270678997
not,0.12815193470137623
away,0.12709025712683797
love,0.12519877745459476
only,0.12434267004330952
can,0.12419294921511953
im,0.12384212860622658
listen,0.12344118642310302
women,0.12332338839769363
romantic,0.12102592115600903
determined,0.11912772059440613
accepted,0.11854318995028734
about,0.11735645805795987
going,0.1166954302849869
well,0.11592896934598684
left,0.11545385420322418
always,0.11298238150775433
probably,0.11275999620556831
someone,0.1119389133527875
had,0.11185527080669999
are,0.10872758475734907
could,0.10626974327561374
its,0.1056133158504963
rich,0.10292822650323312
being,0.10200731746024555
positive,0.10130767244845629
feeling,0.10122584963797546
wants,0.09999802708625793
having,0.09996644655863444
now,0.09983387549540826
his,0.09927274180310112
thought,0.09893229914208253
because,0.09879733518593842
passionate,0.09869752917438745
sure,0.09837569296360016
way,0.09831930821140607
didn,0.09806580344835918
into,0.09753445582464337
get,0.09730236348696053
though,0.09723233591232981
like,0.09670070694902769
this,0.09545509943209991
after,0.0950797771802172
their,0.09483200926333665
told,0.09443618853886922
even,0.09373848680406809
or,0.09350485946717006
days,0.09318545305480559
as,0.09194074892660692
cool,0.09153355875362952
which,0.09099101577885449
him,0.09089223614760808
through,0.09048901963979006
things,0.09032914601266384
who,0.09020043185187711
less,0.08894225458304088
just,0.08821285371668637
writing,0.08786338195204735
where,0.08772934600710869
think,0.0876480528153479
will,0.08741079028695822
feel,0.08614200665678004
ive,0.08575988095253706
we,0.08358506446417707
week,0.08282305346801877
were,0.08277759817428887
with,0.08248198450698206
another,0.08240246586501598
did,0.08158475284775098
down,0.0815783893423421
world,0.08133875532075763
en,0.08125854609534144
too,0.08096904028207064
your,0.08096231326150398
my,0.08046806864017113
assured,0.08039003672699134
completely,0.08016925180951755
these,0.08013953703145187
give,0.07950076390989125
me,0.07893650522155146
and,0.07884036626949507
few,0.07882536451021831
moment,0.0786346619327863
one,0.07833630392948786
back,0.07811946468427777
more,0.07806734249461442
there,0.07754121215215751
mom,0.07704769695798556
better,0.07600607303902507
been,0.07433033649894324
what,0.07396085420623422
mind,0.07266656192950904
in,0.07159778618046807
she,0.07121144351549447
but,0.07079032531170093
be,0.07037123271341746
it,0.07004009593731246
write,0.0699989921413362
much,0.0696349062025547
you,0.06959267520472746
them,0.06900962655033384
before,0.06878730654716492
is,0.06870379962492734
all,0.06833424229019631
that,0.06814606439873157
on,0.0679719602689147
has,0.06724703554064035
others,0.06679775239899755
the,0.06673905149260204
if,0.06662203099292058
go,0.06657550064846873
morning,0.06640549997488658
was,0.06634911889705108
time,0.06602860128300057
have,0.06584475185214118
really,0.0654680459604909
lot,0.06525044531250994
how,0.06461158402574559
say,0.0629685833118856
able,0.06294376496225595
may,0.0615306394174695
hope,0.061349687011291586
by,0.061119260990785226
casual,0.060337217990309
an,0.060081680704440386
some,0.06006612123634953
look,0.05982708434263865
little,0.05962010571965948
each,0.059492392310251795
up,0.05943956528790295
then,0.05899535305798054
must,0.05854103194239239
bit,0.05639072920062712
know,0.05596360670668738
very,0.05544823268428445
quite,0.054926263789335884
horny,0.0545601062476635
from,0.05427928311366807
would,0.054015813705821834
of,0.053026644120875155
never,0.052955915220081806
out,0.05225953459739685
mostly,0.05211644425677756
don,0.05058169939244787
many,0.05056189000606537
they,0.05041839499026537
especially,0.04989912764479717
for,0.049581447823180094
other,0.04945772187784314
made,0.049441544871245115
day,0.04921537067275494
olly,0.04850590912004312
around,0.04772491753101349
want,0.04745749451897361
makes,0.046679465721050896
her,0.04577427904587239
today,0.04484494806577762
people,0.044488798560840745
to,0.04441833315003249
need,0.04115221631946042
so,0.04107502627847416
at,0.04053494846448302
than,0.03837488724717072
watch,0.03832565248012543
last,0.03821183014661074
re,0.037761807752152286
call,0.03631902486085892
make,0.03555612110843261
when,0.03245409218860524
our,0.03154159814585
long,0.030368362087756395
fine,0.027425954739252727
making,0.02644869638606906
hour,0.024236890176932018
special,0.021472863697757322
instead,0.020128009219964344
blessed,0.019699787721037865
here,0.018913470674306154
generous,0.018446917179971933
href,0.0169419654024144
christ,0.01628194493241608
got,0.01612309707949559
mas,0.014518013340421021
summer,0.01419113234927257
take,0.01177046837983653
http,0.007698202350487311
