word,ig_score
stressed,0.6263812246421973
ress,0.5893646851181984
stress,0.5457223445177078
pd,0.5216318294405937
poll,0.5117548604806265
depressed,0.4575044612089793
depression,0.38698770850896835
avoid,0.373102734486262
nervous,0.3614141307771206
fucking,0.3451349387566249
anxious,0.3416303683604513
shit,0.30945789255201817
unstable,0.29566632707913715
anxiety,0.2598499624856881
st,0.2389050651755598
view,0.2288239598274231
didnt,0.20974266741956984
cant,0.2058791364232699
dont,0.2015898863474528
therapy,0.19531163945794106
autism,0.19237362096707025
medication,0.192081647614638
av,0.1889370558783412
wish,0.1863543875515461
fucked,0.1843461667497953
barely,0.18385488539934158
social,0.1833755900817258
hi,0.1831767726689577
management,0.18201820366084576
phone,0.1803132159014543
therapist,0.1724121503531933
sex,0.17220373700062433
nause,0.1721103141705195
died,0.1679687211290002
makes,0.16411703079938889
literally,0.16264921007677913
abusive,0.1621796190738678
decisions,0.15858552604913712
failed,0.15775638073682785
didn,0.15721753239631653
bed,0.15332821135719618
money,0.15203452935176237
hate,0.1485932616946789
traumatic,0.1478166257341703
due,0.14747345447540283
eat,0.14604147896170616
students,0.14522546902298927
..,0.145199170957009
car,0.14506399631500244
angry,0.14206424603859583
stuff,0.1414042592048645
freak,0.14075054787099361
scared,0.1386331527804335
boyfriend,0.1380148952205976
panic,0.13508587144315243
've,0.13374586555768142
fear,0.1331793824210763
im,0.1326154399572349
incredibly,0.13008726264039674
living,0.12788288295269012
math,0.12533343024551868
't,0.1248899490127097
trouble,0.12377800792455673
ational,0.12357199564576149
end,0.12335437256842852
job,0.122645313906319
stressful,0.12123612128198147
dr,0.12053759396076202
couldn,0.12015613541007042
ous,0.1196453645825386
change,0.11949177272617817
guy,0.11944121743241946
said,0.11882548034191132
live,0.11859371736645699
learned,0.11813368399937947
horrible,0.11774741299450397
jobs,0.11766631404558818
'm,0.11760140004518785
mentally,0.11583347022533416
'll,0.11452290167411168
week,0.1138939917087555
health,0.11346984623620908
wonder,0.11259501241147518
un,0.11225394606590271
sexual,0.11129659910996755
'd,0.11096380092203617
remember,0.11041573497156303
"),",0.11013986884305875
drive,0.10900063812732697
's,0.10593204932021243
online,0.10579461678862571
anyway,0.10511145740747452
afraid,0.1047408680121104
struggle,0.10405161511152983
general,0.10380835396548112
28,0.10377174367507298
not,0.10314471583946475
thinking,0.10272052850235593
love,0.10134513601660729
eventually,0.10125338658690453
tired,0.10112528596073389
doesn,0.1011225476861
next,0.10020474437624216
yoga,0.0997643694281578
imp,0.0996095696464181
cry,0.09841675559679668
thank,0.09801581998666127
hope,0.0977345984429121
idget,0.09737370628863573
als,0.09710288234055042
school,0.09707323275506496
wake,0.09701951146125794
terrible,0.09665020704269409
friend,0.09653176227584481
severe,0.09603493101894855
crying,0.09574675311644872
task,0.09566848662992318
during,0.09556018887087703
mind,0.09528888552449644
diagnosed,0.0950762800872326
sleep,0.09463690950845678
chronic,0.09460378345102072
does,0.0942755052819848
childhood,0.0942401501039664
situation,0.09378114502344813
're,0.09299990572035313
sick,0.09172838340912547
easy,0.09168871057530244
feeling,0.09163313772943285
ist,0.09041334688663483
fine,0.08872096464037896
future,0.08733183098956943
mean,0.08721474558115005
enjoy,0.0871904855594039
enough,0.08712012001446315
example,0.08671326314409573
myself,0.08647337321030057
instead,0.08645689363280933
anymore,0.08575874691208203
today,0.08565681092441083
feel,0.0852043865756555
idea,0.08514690186296191
losing,0.08479191269725561
degree,0.08471613563597202
everything,0.08461168577725237
extremely,0.08461002702824771
tried,0.08416891098022461
thoughts,0.08396482677198946
physics,0.08308301245172818
recently,0.08305139128457416
will,0.08281398774124682
almost,0.08248481340706348
body,0.08241416653618217
attacks,0.0822355542331934
understand,0.0817734647010054
deal,0.08115151971578598
conversation,0.08103617529074351
app,0.08090974173198144
problems,0.08074462953954935
currently,0.08038267989953359
trigger,0.08033009618520737
hear,0.0802189235885938
me,0.08008905838689079
mental,0.07954334765672684
am,0.07948504127196822
longer,0.07924629747867584
anyone,0.07900814671555291
constantly,0.07896655984222889
could,0.0788996521383524
can,0.07889160723920832
though,0.07775438316166401
song,0.07762634307146073
man,0.07754839956760406
breath,0.07724131395419438
told,0.07720369340053626
someone,0.07714825334648291
let,0.07706461101770401
making,0.0770405682602099
hide,0.07698936611413956
physically,0.07695177849382162
res,0.07656025035040719
others,0.07628042871753375
worse,0.07611494651064277
used,0.07605315279215574
father,0.07573997974395752
fight,0.07571214716881514
house,0.07569927411774795
abuse,0.07561977101223809
focus,0.07508374657481909
need,0.0746370313469978
blood,0.07385891551772754
feelings,0.07365719377994537
id,0.0729119386523962
early,0.0728590339422226
ready,0.07283127307891846
sit,0.07263665348291397
try,0.07262165578348297
male,0.0723999651769797
asking,0.07235472351312637
ve,0.07217892160018285
don,0.07197326268343364
](,0.07196635231375695
random,0.0711415484547615
happened,0.07065281147758166
thought,0.07034327586491902
why,0.07011716110123829
another,0.07003704532980919
heart,0.0699637873719136
less,0.06985930539667606
his,0.06975711532868445
healthy,0.0696204174309969
should,0.06955389199512345
believe,0.06944415345788002
throw,0.0692405936618646
talk,0.06921347518536178
good,0.06892513167113065
until,0.06874283263459802
classes,0.0682618860155344
stop,0.06822292568782966
help,0.06797500308603048
says,0.06777874764520675
able,0.0676938945427537
second,0.06768225350727637
mother,0.06762004643678665
felt,0.06753408137176718
using,0.067483006666104
completely,0.06732259752849738
wasn,0.06723770623405774
keep,0.0668107026389667
deeply,0.06674144975841045
sub,0.06669055794676144
physical,0.06668352087338765
cannot,0.06660469342023134
care,0.06630228366702795
place,0.06623094475695065
