word,ig_score
give,0.3706900794059038
nothing,0.2728295822938283
miss,0.24019779668500027
broke,0.20828206092119217
ab,0.20250764465890825
father,0.16647204756736755
tired,0.1650249989082416
ve,0.14805331329504648
hi,0.14690604293718934
eid,0.14272678022583327
told,0.14163261651992798
thank,0.13807204540353268
am,0.1333942242199555
old,0.12987662106752396
guy,0.1250611748546362
car,0.11599672259762883
how,0.11376708070747554
around,0.10557461983989924
them,0.1037692935205996
'll,0.1010156727085511
forget,0.09890569662675261
everyone,0.09567212065060933
money,0.09234680390606324
missing,0.08638457286482056
ed,0.08392719831317663
do,0.08324226717415609
hope,0.08280184244116147
not,0.08055498071480542
until,0.07828055638819933
myself,0.0780451181344688
just,0.07666144585784744
rt,0.07322419652094443
did,0.07230623089708388
my,0.07173822612967343
).,0.07091591103623311
phone,0.07054653932573274
girl,0.07011000942438841
't,0.06952326009923127
sleep,0.06910283552133478
why,0.0689635871288677
man,0.06800952414050698
up,0.06768252524281186
started,0.06715193002795179
care,0.0665525128133595
great,0.06355700409039855
got,0.062933409919164
don,0.06257271421092905
im,0.06240245560184121
they,0.062005416431929916
help,0.05956273460760712
ex,0.05929967109113932
more,0.05913987569510937
everything,0.05837670527398586
life,0.05696861343458295
are,0.056392293740910565
boy,0.05599460688730081
talk,0.05563136963173747
these,0.05544645960132281
me,0.05473989053280093
dating,0.051395554561167955
dont,0.049804442251722016
'm,0.04971320705058483
pay,0.04725917987525463
first,0.04722911980934441
his,0.04712923852882037
was,0.046435129290330224
while,0.04592290582756201
out,0.0454390909936693
day,0.04534121295437217
've,0.04524369537830353
think,0.04495657464888479
ago,0.04490624777972698
brother,0.04402420995756984
being,0.04360992958148321
feel,0.04291021577747805
again,0.04260953974777034
like,0.04232823420315981
pic,0.04205822467338294
some,0.04197590984404087
internet,0.04051402645806471
this,0.03896381985396147
without,0.03830450975025693
job,0.03825891537902256
have,0.0381393074867842
saw,0.037733361745874085
off,0.03772582646666302
fun,0.037415140929321446
him,0.036977786936664155
does,0.036825845134444535
doing,0.0366825838573277
had,0.03668196436483413
want,0.03663767566571811
he,0.03632059479282508
bad,0.03609907852175335
with,0.03583726617701662
here,0.03562015853822231
there,0.035191375529393554
so,0.03505414187977159
when,0.03483396934138404
would,0.0347699797047036
her,0.03463854985311628
's,0.03421379456607004
she,0.033605217401470454
know,0.03346291937949983
able,0.033305669824282326
in,0.03301220459908974
oh,0.03298078402876854
by,0.032211457332596186
desk,0.031804089744885765
doesn,0.031779117591213435
say,0.031124826354373778
your,0.030799024272710085
anything,0.030797342226530116
should,0.030794058305521805
what,0.03060345663689077
is,0.03040078324221003
said,0.030377810122445226
or,0.02975368119950872
relationship,0.029636794235557318
always,0.02900553789610664
afraid,0.028984731684128445
wa,0.028356177887568872
their,0.028350253007374704
un,0.02814993883172671
been,0.02808628247917763
but,0.02798205617416118
maybe,0.027889318764209747
through,0.027859324356541038
see,0.027838706271722913
get,0.02749517971936327
who,0.02742113282770983
months,0.02741780085489154
acy,0.027371659642085433
much,0.027243776379951408
time,0.02716851362492889
keep,0.027156464134653408
any,0.02712722805639108
and,0.026647585799525444
one,0.02612122239744557
today,0.02611147123388946
now,0.02607102323180208
that,0.026012090001083715
has,0.025904073069492977
big,0.024707353324629366
about,0.024521710263798013
make,0.02442493150010705
thanks,0.02371857377390067
from,0.023557790322229266
we,0.023369483343374572
back,0.02328875599513677
yes,0.022940243283907574
still,0.022655743081122635
you,0.022501768692846185
little,0.02230813113662104
most,0.0222818898037076
working,0.021966326981782913
if,0.021177812313128794
can,0.021101592836203054
night,0.021060480549931527
will,0.020635931895902522
tr,0.02039640521009763
under,0.02032341156154871
really,0.02026373952893274
free,0.02004012620697419
it,0.020033617640057434
another,0.01995739433914423
team,0.019885653319458168
no,0.019677357282489538
all,0.01934576833018047
found,0.01923831490178903
baby,0.019213240904112656
ha,0.018962818011641503
never,0.018809230532497168
pretty,0.01870645536109805
url,0.018676678960522015
people,0.01789624981271724
for,0.017831874809957838
something,0.017642386630177496
to,0.01747616363273373
may,0.017295020011564095
year,0.017246412734190624
going,0.017119032883783802
be,0.017116115350897115
month,0.017111183842644095
because,0.01709114498225972
of,0.016883167733127872
home,0.01656437401349346
the,0.01634695347941791
good,0.01579839756180133
as,0.015237568703014404
were,0.014733380172401667
morning,0.014104293286800384
at,0.01390474454300212
long,0.013181576505303383
'',0.013032855155567328
go,0.012854415754025633
love,0.012854193989187478
lol,0.01265110308304429
che,0.012322505315144857
us,0.012230029019216696
wait,0.012174820248037576
right,0.01204472896642983
weather,0.011673306270192066
kind,0.011411063373088837
work,0.011355266647620333
re,0.011276777717284858
um,0.011006468751778206
different,0.010969979455694556
nice,0.01068057220739623
haven,0.01055225015928348
later,0.010424031565586725
let,0.01036048959940672
on,0.010206256698196133
bit,0.010182888887356967
cute,0.0101255988702178
asked,0.009979636641219258
comeback,0.009665949270129204
ar,0.009507878373066584
mas,0.00937008170876652
please,0.009151766309514642
even,0.008764232198397318
only,0.008659650280606002
mutual,0.008447752799838781
al,0.007917809940408915
www,0.007827952814598879
..,0.007772937975823879
ers,0.007754065445624292
ee,0.007559423490116994
com,0.007477610566032429
sh,0.007365367685755094
an,0.007274581668233233
ak,0.007259155701225002
na,0.007107486017048359
also,0.00708997428106765
though,0.00698765239212662
school,0.0064311713601152105
00,0.0062872252116600675
download,0.006131924533595641
best,0.005884472746402025
support,0.0051640335586853325
ks,0.005024946993216872
too,0.004602355678798631
