word,ig_score
stressed,0.8923342823982239
jealous,0.556410938501358
rra,0.5481059004863104
agitated,0.4753499577442805
ss,0.4182130644718806
crank,0.4061093255877495
heart,0.4013449201981227
bitch,0.39758245423436167
distracted,0.39641911288102466
irritated,0.3335384130477905
ha,0.3133922169605891
anymore,0.30848440031210583
iv,0.30517062544822693
im,0.3007007947769658
tortured,0.2849191017448902
blog,0.28157997752229375
less,0.2793548539280891
selfish,0.2781890844926238
their,0.2770053260028362
spite,0.27683980266253155
pissed,0.27389708161354065
rude,0.27090111043718124
thing,0.24617994856089354
frustrated,0.23663310706615448
fucked,0.2348971739411354
violent,0.23183445942898592
bit,0.23078685998916626
stay,0.23075286485254765
offended,0.2302063868070642
kind,0.22968468219041824
didn,0.22709254547953606
dangerous,0.22319697290658952
first,0.2231855442126592
rushed,0.22249226804290498
miss,0.22248981753364205
right,0.21543646869914873
him,0.2105898570269346
try,0.21040631867945195
vious,0.21021596156060696
hated,0.21015622280538082
more,0.2072769645601511
them,0.20523683395650652
something,0.20344025393327078
greedy,0.19955765828490257
need,0.199461168050766
now,0.19554622440288463
hurt,0.19539454020559788
bitter,0.19335944950580597
off,0.19161005318164825
dissatisfied,0.18943577073514462
ask,0.18731001392006874
disgusted,0.1872382770691599
food,0.18620440115531287
work,0.1827164977788925
myself,0.179014278575778
don,0.17738913111388682
feeling,0.17523101967727317
moment,0.17488913834095002
you,0.17469818259661013
wrong,0.1740777858843406
stubborn,0.1719517558813095
or,0.17149750973013314
here,0.168254304677248
place,0.164651890595754
today,0.16457302682101727
every,0.1612040027976036
impatient,0.16103706633051237
day,0.15982426516711712
sleep,0.15952988527715206
little,0.15933247407277426
damn,0.15915474854409695
someone,0.1575502771884203
feel,0.15744075729427012
cold,0.15707408947249255
angry,0.15523676872253417
enough,0.15393761359155178
like,0.15378620791747127
his,0.1509890342131257
during,0.1501922905445099
each,0.14915216341614723
way,0.14884439368660635
feels,0.1461305059492588
me,0.14611894106147466
listen,0.1451655849814415
because,0.1447056054448088
everything,0.14404993131756783
so,0.14259262667554948
when,0.14239249378442764
face,0.14223431795835495
am,0.14203857954729487
get,0.14141858890652656
not,0.14127448735677678
this,0.14105524184803167
hate,0.1405995977776391
getting,0.14052314013242723
en,0.14023477770388126
out,0.13962097217639288
lately,0.13814223309357962
moments,0.13771752019723257
mind,0.13752285142739615
though,0.13716039955615997
very,0.1370341178889458
person,0.13359939446672797
next,0.1333707705140114
long,0.13328515738248825
up,0.13267972910155854
such,0.13250031881034374
over,0.13158855382353069
too,0.13063365779817104
ful,0.12989049955892065
want,0.12966432189568877
for,0.12881722144390406
certain,0.128422767855227
bothered,0.12813082709908485
by,0.12761719223971552
have,0.1265553922081987
back,0.12579249484198435
make,0.12569264881312847
these,0.12499482433001201
time,0.12480716513735908
just,0.1241123279184103
then,0.12403582936773698
at,0.12303482013798896
sometimes,0.12296117842197418
with,0.12261704839766026
being,0.12245394183056695
in,0.12228538491763175
wanted,0.1207337761297822
about,0.1205059390515089
people,0.11968893883749843
what,0.11842341265744633
almost,0.11812458063165347
they,0.11805196648294275
those,0.11729197638730209
no,0.1161928613271032
one,0.1160248772551616
live,0.11523957923054695
better,0.1140294795234998
it,0.11294697504490614
all,0.11285578086972237
must,0.11268717795610428
of,0.11258403312992947
from,0.1110972050163481
rather,0.11096594296395779
to,0.11074048597030006
her,0.11008649150078947
but,0.10988210282962897
should,0.10945301689207554
love,0.10895987832918763
around,0.10812216624617577
was,0.10605839355026975
an,0.1056011289358139
which,0.10476437211036682
pretty,0.1043624198064208
often,0.10427958021561305
be,0.10356185354647182
my,0.10320714337014875
away,0.10271094888448715
thinking,0.10267829398314159
there,0.10222345925867557
is,0.10196788149575392
know,0.10169252080635892
see,0.10162396014978488
ed,0.10143141727894545
would,0.10058003198355436
things,0.09970831964164972
also,0.09954841403911512
already,0.09954007218281428
on,0.09908929453896624
res,0.09868299327790737
and,0.09847274841328638
who,0.09846903011202812
been,0.09821419401423019
were,0.09695900479952495
its,0.09676544927060604
do,0.09491256452523746
can,0.09485445233682792
we,0.09414158513148625
the,0.09125011382488216
bad,0.09077069908380508
are,0.09076293297111988
ent,0.08985656127333641
without,0.0896861453851064
that,0.08961236264763607
say,0.08954183496534825
going,0.08910117894411088
had,0.08833047209514512
own,0.0878978967666626
before,0.08787741791456938
he,0.08781864643096923
than,0.08691455672184627
as,0.08660930727741548
come,0.08517113514244556
cannot,0.0849052332341671
she,0.08451845579677159
insulted,0.08408413045108318
change,0.0828551510348916
loved,0.08191218134015799
much,0.08167983281115691
could,0.08150841668248177
how,0.08137223497033119
life,0.08055335748940706
came,0.07960137103994687
got,0.07920534784595172
if,0.07828440532709162
even,0.07817405462265015
upset,0.07438920189936955
stop,0.07303431754310925
ly,0.07302637118846178
ones,0.07120834570378065
home,0.06828013015910983
some,0.06759503590209144
think,0.0675821453332901
has,0.06634488670776288
through,0.06525599087278049
really,0.06100403952101866
might,0.059889012947678566
ve,0.054363616121311985
whole,0.052459741632143654
