word,ig_score
restless,1.221911334991455
anxious,1.1583543851971627
nervous,1.124291256070137
apprehens,0.9902830421924591
uncertain,0.9158338656028112
shaken,0.7793971970677376
alarmed,0.7402919605374336
skeptical,0.7174953380599618
shaky,0.6240099011920393
paranoid,0.6163565928914717
hesitant,0.5848528618613879
agitated,0.5413273870944977
insecure,0.45781143258015317
scared,0.44327204301953316
unsure,0.4379980420427663
threatened,0.4347830757498741
terrified,0.4280637602011363
reluctant,0.3251655176281929
frightened,0.3250950085930526
intimidated,0.32347753643989563
dont,0.3181005801473345
distraught,0.2885501831769943
uncomfortable,0.2689421735703945
overwhelmed,0.26200100779533386
feeling,0.2612677414111699
timid,0.2588312154014905
remember,0.24288290506228805
ive,0.23751965599755445
im,0.19723775416302183
began,0.1795608326792717
startled,0.1773868680000305
spent,0.17461316287517548
feel,0.16373345005512238
tonight,0.16015089054902396
god,0.15728044168402752
start,0.15574364364147186
vulnerable,0.15398248533407846
may,0.1442231573164463
heart,0.13789746398106217
bike,0.1301616132259369
absolutely,0.12912653821210066
thought,0.1289095701649785
whatever,0.12284039938822389
don,0.12020532538493474
night,0.11992045529186726
fearful,0.11674551417430241
help,0.11659074885149796
id,0.11485083028674126
afraid,0.11459524878724055
shy,0.11399511694908142
suspicious,0.11033842220370259
lately,0.10704686818644404
started,0.10619072882192475
say,0.10346205372895513
starting,0.10090164716045062
think,0.09912185709584843
lot,0.09701227908954024
thing,0.09623331297188997
cant,0.09599114283919334
its,0.09526295214891434
your,0.09487802907824516
even,0.09481850421677034
about,0.09315449411444592
today,0.09254970424808562
was,0.09196230228990317
felt,0.09128327916065852
so,0.09100162562343382
bit,0.09060608557261088
angry,0.09004793502390385
less,0.0889501782755057
hope,0.08792129438370466
she,0.08786387941134828
am,0.08511945541415895
pretty,0.0831221085973084
assaulted,0.08225398386518161
future,0.08164045338829358
her,0.08083639096003026
were,0.08061204734258354
can,0.08001013652288488
tortured,0.07993060164153576
if,0.07939772897710402
change,0.07928954716771841
book,0.0788592988004287
also,0.07865700237452984
time,0.07794042453169822
myself,0.07567633332853968
whole,0.07558371561268966
things,0.07550162449479103
around,0.0753404387505725
little,0.07503181416541338
always,0.07459473609924316
just,0.07439191673735254
too,0.07355107894788186
trust,0.07324447482824326
suddenly,0.07095688953995705
reason,0.07072917744517326
confused,0.06973445834591985
by,0.06829376577710113
seeing,0.06725754425860941
still,0.0666632588642339
however,0.06657744012773037
very,0.06653830486660202
re,0.06646026438102126
being,0.06642058615883191
good,0.0653369938954711
been,0.06497007116143193
might,0.06485731899738312
told,0.06476229475811124
home,0.06425509881228209
blog,0.06408179240922134
know,0.06406322307884693
near,0.06353817104051511
up,0.06243028964560766
strange,0.06191106575230757
now,0.0619023775216192
own,0.06187085931499799
they,0.06157834343612194
would,0.06072966459517678
this,0.06024197638599259
yet,0.060013738150397934
going,0.05952678289678362
get,0.05912315069387356
tasks,0.059060776295761265
off,0.058822646737098694
not,0.058712255786217395
because,0.057668925617777166
you,0.057563425307827334
when,0.05702862643596271
without,0.056611737981438634
me,0.0563572815486363
want,0.056336814227203526
helpless,0.0562896691262722
one,0.056220787266890206
write,0.05597667349502444
how,0.054158850996331734
made,0.05375394644215703
probably,0.05321921159823736
could,0.05182040296494961
days,0.051549419139822326
thin,0.051432070322334766
will,0.05085443537682295
have,0.05029604378107347
feels,0.050174280535429716
make,0.05004415940493345
do,0.049519015041490394
