epoch,train_loss,val_accuracy,val_f1_macro,val_f1_weighted,val_auc_macro
1,0.4856,0.8972,0.8054,0.8934,0.9773
2,0.2328,0.9256,0.8582,0.9247,0.9844
3,0.164,0.9269,0.8623,0.9272,0.9849
4,0.1111,0.9311,0.8755,0.9318,0.9849
5,0.071,0.9306,0.8716,0.9304,0.9848
