epoch,train_loss,val_accuracy,val_f1_macro,val_f1_weighted,val_auc_macro
1,0.4543,0.9062,0.8295,0.9042,0.9785
2,0.1967,0.9252,0.8631,0.9246,0.9856
3,0.1102,0.9321,0.8754,0.9319,0.9851
4,0.0559,0.9312,0.8744,0.9314,0.9839
5,0.0267,0.9328,0.877,0.9327,0.9824
