epoch,train_loss,val_accuracy,val_f1_macro,val_f1_weighted,val_auc_macro
1,0.4415,0.9127,0.8389,0.9136,0.9814
2,0.2265,0.9265,0.8653,0.9274,0.9863
3,0.1574,0.9329,0.8809,0.934,0.9863
4,0.0998,0.9348,0.8801,0.9352,0.9867
5,0.0624,0.9386,0.8874,0.9384,0.9848
